Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov < 3,5t;Sr. tov  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
R1;225;1247;MOZIRJE - SOTESKA;0;2.339;577;Ljubija;R 07x1;9.300;85;8.180;55;620;100;90;70;100;195;PLDP
R1;225;1246;SOTESKA - LETUS;0;3.300;34;Letus 2;QLD*;5.567;59;4.765;52;395;67;86;66;77;277;DIST
R1;225;1246;LETUS - M.BRASLOVCE;3.300;6.050;138;Letus;QLTC10;8.021;100;6.909;48;585;116;80;69;114;327;DIST
R1;225;1246;M.BRASLOVCE - PARIZLJE;6.050;8.390;;;P;7.700;80;6.695;30;485;110;120;70;110;207;PLDP
R1;225;1246;PARIZLJE - SENTRUPERT;8.390;12.200;37;Orla vas;QLTC10;9.234;78;8.054;28;672;130;82;70;120;198;PLDP
R1;227;1264;RAVNE - KOTLJE;0;3.600;319;Brdinje;QLD6;7.106;37;6.540;25;428;21;42;5;8;44;PLDP
R1;227;1423;KOTLJE - STARI TRG;0;8.430;921;Stari Trg pri SG;QLD6;6.348;32;5.883;21;332;27;39;6;8;43;PLDP
R1;227;1423;STARI TRG - SLOVENJ GRADEC;8.430;11.154;;;P;9.400;60;7.555;25;760;45;880;25;50;507;PLDP
R1;228;1291;SPUHLJA - BORL;0;8.500;341;Stojnci;QLTC10;5.069;30;4.213;36;355;59;37;82;257;389;DIST
R1;228;1291;BORL - MP ZAVRC;8.500;13.900;340;MP Zavrc;QLD6;2.380;11;1.805;26;153;23;43;75;244;357;WIM
R1;229;0248;PTUJ (BUDINA-CENTER);0;1.088;;;P;17.600;50;15.680;160;1.200;200;130;50;130;286;PLDP
R1;229;1417;PTUJ - ROGOZNICA;0;2.080;928;Ptuj;QLTC10;8.408;37;7.701;42;496;63;43;11;15;68;PLDP
R1;229;1286;ROGOZNICA - JANEZOVCI;0;4.830;927;Nova vas pri Ptuju;QLTC10;5.980;30;5.399;25;360;59;48;20;39;83;PLDP
R1;229;1286;JANEZOVCI - GOMILCI;4.830;7.360;;;P;3.800;35;3.395;15;220;30;50;20;35;72;PLDP
R1;229;1286;GOMILCI - SENARSKA;7.360;16.918;338;Gocova;QLD6;3.478;33;3.055;10;250;24;42;25;39;70;PLDP
R1;230;0327;MP G.RADGONA - G.RADGONA;0;989;665;MT Gornja Radgona;QLTC8;6.405;47;5.965;5;239;29;17;20;83;81;PLDP
R1;230;0366;GORNJA RADGONA - RADENCI;0;5.680;86;Sratovci;QLTC8;7.038;69;6.123;69;402;111;82;48;134;211;DIST
R1;230;1164;RADENCI ;0;453;;;P;5.900;50;5.180;50;300;105;60;45;110;169;PLDP
