Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip;;;
AC;A2;0023;IVANCNA GORICA - BIC;0;6.889;870;Dob AC;QLTC8;31.969;16;25.577;294;3.128;302;148;579;1.925;2.351;PLDP;;;
AC;A2;0072;BIC - TREBNJE Z;0;7.403;;;P;31.300;20;25.310;290;2.700;280;140;460;2.100;2.384;PLDP;;;
AC;A2;0072;TREBNJE Z - TREBNJE V;7.403;14.383;;;P;26.500;25;20.725;280;2.600;270;150;450;2.000;2.290;PLDP;;;
AC;A2;0024;TREBNJE V - PRIKLJ. MIRNA PEC;0;4.557;;;P;30.200;30;24.250;270;2.800;260;145;450;1.995;2.274;PLDP;;;
AC;A2;0024;PRIKLJ. MIRNA PEC  -  NM PRIKLJ. Z;4.557;10.845;806;Zagorica AC;QLTC8;29.680;39;23.579;276;2.886;277;166;469;1.988;2.300;PLDP;;;
AC;A2;0024;NM PRIKLJ. Z - NM PRIKLJ. V;10.845;13.168;;;P;24.000;45;19.205;245;2.000;210;145;350;1.800;2.005;PLDP;;;
AC;A2;0025;NM PRIKLJ.V - KRONOVO;0;6.338;1021;Novo mesto V AC;QLTC8;25.600;60;20.620;250;2.100;220;150;370;1.830;2.054;PLDP;;;
AC;A2;0026;KRONOVO - DOBRUSKA VAS;0;6.040;602;Draga AC;QLTC8;24.050;94;19.006;266;2.212;242;136;348;1.746;1.982;PLDP;;;
AC;A2;0027;DOBRUSKA VAS  -  SMEDNIK;0;5.896;;;P;22.000;55;17.355;260;2.000;200;135;240;1.755;1.885;PLDP;;;
AC;A2;0027;SMEDNIK   -  DRNOVO;5.896;13.654;875;Drnovo AC;QLTC8;21.480;49;16.888;258;1.865;193;134;335;1.758;1.960;PLDP;;;
AC;A2;0418;PRIKLJ. DRNOVO - NM;0;2.300;873;Priklj. Drnovo-NM;QLTC8;5.373;10;4.503;10;479;89;68;54;160;229;PLDP;;;
AC;A2;0418;PRIKLJ. DRNOVO - CATEZ;2.300;2.844;874;Priklj. Drnovo-Catez;QLTC8;2.135;5;1.759;8;190;23;9;19;122;128;PLDP;;;
AC;A2;0028;DRNOVO  -  BREZICE;0;11.717;2302;Brezice AC;QLTC8;18.242;44;14.144;256;1.576;127;75;300;1.720;1.860;PLDP;;;
AC;A2;0029;BREZICE - PRIKLJ. OBREZJE;0;7.008;512;Catez AC;QLTC8;16.500;45;13.117;240;915;81;32;320;1.750;1.860;PLDP;;;
AC;A2;0029;PRIKLJ. OBREZJE  - OBREZJE TERMINAL;7.008;7.971;;;P;15.000;45;11.555;245;935;85;35;370;1.730;1.889;PLDP;;;
AC;A2;0029;OBREZJE TERMINAL - MP OBREZJE;7.971;8.534;511;MP Obrezje;QLD*;12.650;45;9.219;249;936;93;35;363;1.710;1.873;PLDP;;;
AC;A3;0068;GABRK - SEZANA V;0;7.977;813;Dane AC;QLTC8;13.796;33;8.052;219;1.526;194;95;407;3.270;3.186;PLDP;;;
AC;A3;0069;SEZANA V - SEZANA Z;0;2.698;;;P;11.000;30;5.775;200;1.150;165;80;400;3.200;3.098;PLDP;;;
AC;A3;0070;SEZANA Z  -  FERNETICI;0;950;863;Sezana AC;QLTC8;10.384;28;5.647;194;1.097;110;47;351;2.910;2.794;PLDP;;;
AC;A3;0070;FERNETICI - MP FERNETICI;950;1.571;653;MT Fernetici;QLD;21.300;192;15.446;235;1.618;164;89;413;3.143;3.090;PLDP;;;
AC;A3;0486;PRIKLJ. FERNETICI;0;643;864;Priklj. Fernetici;QLD6;10.450;160;9.409;35;494;50;40;48;214;263;PLDP;;;
AC;A4;0091;SLIVNICA - LETALISCE MB;0;2.365;;;P;23.500;55;19.100;175;2.150;210;100;240;1.470;1.589;PLDP;;;
AC;A4;0091;LETALISCE MB - MARJETA;2.365;6.724;;;P;23.200;55;18.848;172;2.100;220;100;240;1.465;1.585;PLDP;;;
AC;A4;0091;MARJETA - ZLATOLICJE;6.724;11.493;890;Prepolje AC;QLTC8;22.154;52;17.930;170;2.013;201;95;231;1.462;1.567;PLDP;;;
AC;A4;0091;ZLATOLICJE - HAJDINA;11.493;15.560;;;P;21.600;50;17.750;165;1.700;170;90;225;1.450;1.538;PLDP;;;
AC;A4;0092;HAJDINA - DRAZENCI;0;4.510;;;P;20.200;45;16.680;155;1.500;150;90;150;1.430;1.449;PLDP;;;
AC;A4;0093;DRAZENCI -PODLEHNIK;0;5.905;1008;Podlehnik AC;QLTC8;12.500;18;9.845;140;1.130;80;50;117;1.120;1.129;PLDP;;;
AC;A4;0094;PODLEHNIK - GRUSKOVJE ;0;8.634;1022;Gruskovje AC;QLTC8;10.300;35;8.510;115;565;35;60;80;900;896;PLDP;;;
AC;A5;0806;DRAGUCOVA - PERNICA;0;6.174;877;Dragucova AC;QLTC8;27.600;12;19.753;173;2.877;371;187;551;3.676;3.679;PLDP;;;
AC;A5;0806;PERNICA - LENART;6.174;11.326;2007;Mocna AC;QLTC8;26.847;11;19.099;171;2.801;364;180;550;3.671;3.669;PLDP;;;
AC;A5;0463;PRIKLJ.PERNICA - MB;0;220;878;PR Pernica - MB;QLTC10;1.477;3;1.282;2;151;15;12;3;9;20;PLDP;;;
AC;A5;0463;PRIKLJ.PERNICA - MS;220;440;879;PR Pernica - MS;QLTC10;724;2;628;0;75;8;5;2;4;9;PLDP;;;
AC;A5;0807;LENART - SV.TROJICA;0;5.018;;;P;21.000;20;13.450;140;2.750;360;160;520;3.600;3.558;PLDP;;;
AC;A5;0808;SV. TROJICA - PRIKLJ. CERKVENJAK;0;4.560;;;P;19.500;15;12.210;140;2.650;330;130;495;3.530;3.463;PLDP;;;
