Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Ime stevnega mesta;Tip   stetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov.  < 3,5t;Sr. tov.  3,5-7t;Tez. tov. nad 7t;Tov. s prik.;Vlacilci;Dnevni NOO;Tip
AC;A2;0026;KRONOVO - DOBRUSKA VAS;0;6.040;602;Draga AC;QLTC8;24.960;14;19.650;274;2.368;234;130;352;1.938;2.146;PLDP
AC;A2;0027;DOBRUSKA VAS  -  SMEDNIK;0;5.896;;;P;22.900;55;17.950;265;2.100;220;125;240;1.945;2.049;PLDP
AC;A2;0027;SMEDNIK   -  DRNOVO;5.896;13.654;875;Drnovo AC;QLTC8;22.400;31;17.499;260;1.965;210;120;365;1.950;2.144;PLDP
AC;A2;0418;PRIKLJ. DRNOVO - NM;0;2.300;873;Priklj. Drnovo-NM;QLTC8;5.436;8;4.538;10;492;95;64;55;174;242;PLDP
AC;A2;0418;PRIKLJ. DRNOVO - CATEZ;2.300;2.844;874;Priklj. Drnovo-Catez;QLTC8;2.187;3;1.787;8;195;24;15;22;133;143;PLDP
AC;A2;0028;DRNOVO  -  BREZICE;0;11.717;2302;Brezice AC;QLTC8;18.699;18;14.361;251;1.615;139;75;334;1.906;2.040;PLDP
AC;A2;0029;BREZICE - PRIKLJ. OBREZJE;0;7.008;512;Catez AC;QLTC8;17.459;12;13.210;258;1.562;134;54;339;1.890;2.027;PLDP
AC;A2;0029;PRIKLJ. OBREZJE  - OBREZJE TERMINAL;7.008;7.971;;;P;16.000;20;12.305;265;1.000;110;50;380;1.870;2.039;PLDP
AC;A2;0029;OBREZJE TERMINAL - MP OBREZJE;7.971;8.534;511;MP Obrezje;QLTC8;13.086;21;9.471;267;952;104;46;372;1.853;2.017;PLDP
AC;A3;0068;GABRK - SEZANA V;0;7.977;813;Dane AC;QLTC8;13.252;31;7.929;213;1.468;184;91;364;2.972;2.909;PLDP
AC;A3;0069;SEZANA V - SEZANA Z;0;2.698;;;P;10.400;30;5.590;200;1.100;150;75;355;2.900;2.818;PLDP
AC;A3;0070;SEZANA Z  -  FERNETICI;0;950;863;Sezana AC;QLTC8;9.709;30;5.437;193;1.041;93;40;309;2.566;2.480;PLDP
AC;A3;0070;FERNETICI - MP FERNETICI;950;1.571;653;MT Fernetici;QLTC8;20.700;165;15.371;230;1.400;140;74;370;2.950;2.889;PLDP
AC;A3;0486;PRIKLJ. FERNETICI;0;643;864;Priklj. Fernetici;QLTC8;10.700;150;9.690;40;480;50;30;40;220;263;PLDP
AC;A4;0091;SLIVNICA - LETALISCE MB;0;2.365;;;P;25.400;45;20.525;185;2.350;240;110;285;1.660;1.802;PLDP
AC;A4;0091;LETALISCE MB - MARJETA;2.365;6.724;;;P;25.100;40;20.280;180;2.300;250;110;285;1.655;1.798;PLDP
