Kat. ceste;Stev. ceste;Stev. odseka;Prometni odsek;Stac. zacetka;Stac. konca;Stevno mesto;Tip pr. odseka;Tip avt. stevca;Leto roc. stetja;Ime stevnega mesta;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lahka tov. < 3t;Sr. tov.  3-7t;Tez. tov. nad 7t;Tov. s prik.;ZAPORED
G1;1;0241;DRAVOGRAD-RADLJE;0;16.480;60;O;QLD6;98x1;GORTINA;6.582;28;5.776;66;334;156;94;128;246
G1;1;0242;RADLJE;0;2.350;60;P;;;;8.100;30;7.100;87;387;213;128;155;247
G1;1;0243;RADLJE-BREZNO;0;9.000;605;O;QLD6;x;BREZNO;4.412;20;3.787;48;253;116;82;106;248
G1;1;0244;BREZNO-RUTA;0;9.500;605;P;;;;5.000;20;4.271;58;280;150;103;118;249
G1;1;0245;RUTA-SELNICA;0;10.500;61;P;;;;5.500;16;4.979;57;186;116;76;70;250
G1;1;0245;SELNICA-MB(OTOK);10.500;20.120;61;O;QLD6;99x4;BRESTRNICA;8.435;28;7.613;82;308;158;116;130;250
G1;1;0245;MB(OTOK)-MB(KOROSKI MOST);20.120;20.900;61;P;;;;12.000;35;10.867;123;404;253;165;153;250
G1;1;1468;MB( KOR. MOST-TRZASKA);0;4.760;706;P;;;;13.000;29;11.889;107;430;269;136;140;252
G1;1;0246;MB(TRZASKA)-AC1;0;3.000;15;P;;;;25.200;41;21.515;216;1.161;483;386;1.398;253
G1;1;0246;AC1-MIKLAVZ;3.000;3.745;606;P;;;;17.200;32;14.797;219;1.085;335;181;551;253
G1;1;1400;MIKLAVZ-HAJDINA;0;17.035;606;O;QLD6;x;STARSE;14.975;32;12.812;214;834;209;176;698;254
G1;2;1290;SL.BISTRICA-PRAGERSKO;0;7.300;196;O;QLD6;99x1;DEVINA;7.561;20;5.947;60;422;232;192;688;255
G1;2;1290;PRAGERSKO-KIDRICEVO;7.300;16.470;642;O;QLD3;x;KIDRICEVO 1;6.889;18;5.524;42;394;223;141;547;255
G1;2;1290;KIDRICEVO-HAJDINA;16.470;20.060;629;O;QLD3;x;KIDRICEVO 2;8.445;23;7.005;53;500;211;134;519;255
G1;2;0247;HAJDINA-PTUJ;0;2.070;606;P;;;;22.500;43;19.355;286;1.420;438;236;722;256
G1;2;0248;PTUJ;0;1.025;606;P;;;;28.500;55;24.519;361;1.798;556;299;912;257
G1;2;0249;PTUJ-SPUHLJA;0;3.020;606;P;;;;15.200;29;13.076;193;960;296;159;487;258
G1;2;0250;SPUHLJA-ORMOZ;0;17.800;62;O;QLD6;x;CVETKOVCI;6.171;24;5.051;48;352;140;118;438;259
