Kat. ceste;Štev. ceste;Štev. odseka;Prometni odsek;Stac. začetka;Stac. konca;Števno mesto;Ime števnega mesta;Tip štetja;Vsa vozila (PLDP);Motorji;Osebna vozila;Avtobusi;Lah. tov. < 3,5t;Sr. tov.  3,5-7t;Tež. tov. nad 7t;Tov. s prik.;Vlačilci;NOO;Tip
R1;227;1264;RAVNE - KOTLJE;0;3.600;319;Brdinje;QLD;6.667;60;6.125;22;355;41;55;4;5;504.396;PLDP
R1;227;1423;KOTLJE - SLOVENJ GRADEC;0;11.154;322;Podgora;QLD5;5.381;33;4.961;17;259;55;50;3;3;467.568;PLDP
R1;228;1291;SPUHLJA - BORL;0;8.500;341;Stojnci;QLTC10;4.594;19;3.914;29;268;51;47;77;189;2.112.890;PLDP
R1;228;1291;BORL - MP ZAVRČ;8.500;13.900;340;MP Zavrč;QLD6;1.746;8;1.361;14;76;14;26;61;186;1.753.069;PLDP
R1;229;0248;PTUJ ;0;1.088;;;P;19.200;55;17.115;180;1.250;210;140;110;140;3.431.486;PLDP
R1;229;1417;PTUJ - ROGOZNICA;0;2.080;;;P;12.300;45;11.490;90;410;45;90;50;80;1.726.941;PLDP
R1;229;1286;ROGOZNICA - SENARSKA;0;16.918;338;Gočova;QLD6;3.197;30;2.813;9;215;36;52;17;25;629.811;PLDP
R1;230;0327;MP G.RADGONA - G.RADGONA;0;989;665;MT Gornja Radgona;QLTC8;6.007;53;5.537;5;226;41;22;25;98;977.439;PLDP
R1;230;0366;GORNJA RADGONA - RADENCI;0;5.680;86;Šratovci;QLD6;6.697;51;5.813;63;363;95;121;61;130;2.148.474;DIST
R1;230;1164;RADENCI;0;453;;;P;5.700;40;5.045;45;260;70;80;60;100;1.723.208;PLDP
R1;230;1308;RADENCI - VUČJA VAS;0;7.803;352;Radenci;QLD6;3.573;35;3.050;16;200;51;66;55;100;1.461.928;PLDP
R1;230;1399;VUČJA VAS - KRIŽEVCI;0;4.527;576;Iljaševci;QLD;4.154;45;3.433;18;286;62;90;65;155;2.016.092;PLDP
